"dr1vers","fr0nt","R3@R","kms","p3tr0lPrice","dr!versk!lled","V@nKilled","law","cloud rate"
"1687","867","269",0,"0,102971811805368","107","12","9059",90
"1508","825","265",0,"0,102362995884646","97","6","7685",72
"1507","806","319",0,"0,102062490635914","102","12","9963",41
"1385","814","407",0,"0,100873300511862","87","8","10955",8
"1632","991","454",0,"0,101019672891934","119","10","11823",57
"1511","945","427",0,"0,10058119170287","106","13","12391",73
"1559","1004","522",0,"0,103773981457839","110","11","13460",52
"1630","1091","536",0,"0,104076403554621","106","6","14055",97
"1579","958","405",0,"0,103773981457839","107","10","12106",67
"1653","850","437",0,"0,103026401330572","134","16","11372",40
"2152","1109","434",0,"0,102730112155946","147","13","9834",2
"2148","1113","437",0,"0,101997191539847","180","14","9267",65
"1752","925","316",0,"0,101274563494893","125","14","9130",73
"1765","903","311",0,"0,10070397563972","134","6","8933",7
"1717","1006","351",0,"0,100139606658898","110","8","11000",77
"1558","892","362",0,"0,0986211043713023","102","11","10733",29
"1575","990","486",0,"0,0983492854059603","103","7","12912",20
"1520","866","429",0,"0,0980801772105387","111","13","12926",78
"1805","1095","551",0,"0,0972792082183714","120","13","13990",80
"1800","1204","646",0,"0,0974106238350488","129","11","14926",7
"1719","1029","456",0,"0,0974252365245483","122","11","12900",100
"2008","1147","475",0,"0,0963806330037465","183","14","12034",45
"2242","1171","456",0,"0,0957389559626943","169","16","10643",76
"2478","1299","468",0,"0,0951063062359475","190","14","10742",25
"2030","944","356",0,"0,0967359671470176","134","17","10266",91
"1655","874","271",0,"0,0961092224873678","108","16","10281",13
"1693","840","354",0,"0,095367254851379","104","15","11527",84
"1623","893","427",0,"0,0947095915871269","117","13","12281",10
"1805","1007","465",0,"0,0941176202174608","157","13","13587",94
"1746","973","440",0,"0,0935321548190638","148","15","13049",41
"1795","1097","539",0,"0,0929540494377308","130","12","16055",12
"1926","1194","646",0,"0,0928397862431927","140","6","15220",8
"1619","988","457",0,"0,0927247362539862","136","9","13824",71
"1992","1077","446",0,"0,0922696509793897","140","13","12729",15
"2233","1045","402",0,"0,0917066851479679","187","14","11467",83
"2192","1115","441",0,"0,0912620719433678","150","15","11351",49
"2080","1005","359",0,"0,090711603254936","159","14","10803",39
"1768","857","334",0,"0,090276328119195","143","3","10548",87
"1835","879","312",0,"0,0899519176272147","114","12","12368",35
"1569","887","427",0,"0,0890996386561615","127","13","13311",6
"1976","1075","434",0,"0,0886791925043499","159","12","13885",71
"1853","1121","486",0,"0,0881592888670634","156","8","14088",4
"1965","1190","569",0,"0,0889020568552906","138","8","16932",74
"1689","1058","523",0,"0,0881813314444876","120","15","16164",81
"1778","939","418",0,"0,0889402929599117","117","8","14883",48
"1976","1074","452",0,"0,0877266104275971","170","5","13532",8
"2397","1089","462",0,"0,087428846437772","168","17","12220",53
"2654","1208","497",0,"0,0870354301608856","198","14","12025",67
"2097","903","354",0,"0,0864499193294655","144","13","11692",53
"1963","916","347",0,"0,0858726409121568","146","5","11081",14
"1677","787","276",0,"0,0853982218357345","109","8","13745",28
"1941","1114","472",0,"0,083821981233605","131","5","14382",6
"2003","1014","487",0,"0,0845907801489325","151","12","14391",9
"1813","1022","505",0,"0,0841369037739444","140","11","15597",33
"2012","1114","619",0,"0,0837784051341314","153","13","16834",46
"1912","1132","640",0,"0,0835107427259604","140","15","17282",64
"2084","1111","559",0,"0,0828063938633846","161","11","15779",19
"2080","1008","453",0,"0,0811788933269884","168","11","13946",98
"2118","916","418",0,"0,0828536069623417","152","10","12701",1
"2150","992","419",0,"0,0941901186933595","136","13","10431",92
"1608","731","262",0,"0,0923998429510411","113","8","11616",52
"1503","665","299",0,"0,108161478199019","100","6","10808",94
"1548","724","303",0,"0,10721168869023","103","8","12421",68
"1382","744","401",0,"0,114042966782082","103","14","13605",90
"1731","910","413",0,"0,112454115810183","121","12","14455",75
"1798","883","426",0,"0,111316253290611","134","14","15019",5
"1779","900","516",0,"0,11030125221242","133","13","15662",100
"1887","1057","600",0,"0,108197177376865","129","9","16745",19
"2004","1076","459",0,"0,107027443082328","144","4","14717",35
